Panel number,Suggested probability,agent 1,agent 2,agent 3,agent 4,agent 5,agent 6,agent 7,agent 8,agent 9,agent 10,agent 11,agent 12,agent 13,agent 14,agent 15,agent 16,agent 17,agent 18,agent 19,agent 20,agent 21,agent 22,agent 23,agent 24,agent 25,agent 26,agent 27,agent 28,agent 29,agent 30,agent 31,agent 32,agent 33,agent 34,agent 35
207,0.0013083846326682892,"106","113","135","149","152","158","164","186","231","261","286","315","32","343","353","372","433","435","443","485","511","557","570","581","587","59","61","634","711","75","766","900","906","983","987"
208,0.0008526374628922407,"111","23","231","235","24","246","263","280","345","38","39","390","399","422","435","443","449","496","509","548","560","657","75","784","787","790","795","900","906","911","926","931","950","958","97"
209,0.0024466394830110977,"106","120","128","13","134","175","235","260","311","32","349","378","435","443","49","5","512","547","559","568","576","577","652","718","75","772","797","805","848","849","900","906","91","934","951"
210,4.602562744125869e-05,"10","106","169","178","22","255","257","283","416","435","442","443","493","535","561","630","663","702","722","745","756","762","806","84","858","872","874","879","900","902","906","967","98","994","995"
211,0.0013102049477188122,"107","111","120","132","134","137","15","168","173","186","235","24","252","285","32","368","43","435","443","449","472","50","608","613","633","638","657","731","736","75","780","797","91","911","946"
212,0.0015074503768042924,"106","110","120","151","152","171","175","32","351","362","419","435","438","443","453","454","456","457","471","600","603","619","694","697","701","718","75","794","833","842","90","900","906","91","916"
213,0.00038004272779793404,"101","108","120","144","147","151","155","157","161","168","228","294","32","35","364","370","393","435","443","464","504","541","553","592","61","661","698","705","771","777","782","900","906","916","985"
214,0.0021500449375435535,"132","137","173","233","253","343","368","413","429","435","443","471","504","517","525","59","608","613","614","751","753","775","780","814","833","842","881","89","900","906","915","936","945","978","981"
215,0.0011287105675938966,"163","210","22","268","32","323","355","399","422","435","443","45","475","561","587","616","630","632","641","672","674","75","756","778","863","875","882","905","906","931","936","951","958","962","993"
216,0.0011431274585747264,"108","13","152","173","186","200","227","231","233","298","32","361","385","435","443","459","480","553","558","571","61","615","655","662","693","782","785","786","807","9","906","919","923","950","974"
217,0.0028373258332152784,"129","130","135","173","213","219","237","264","268","337","344","363","384","435","443","447","462","464","481","485","525","541","582","583","678","713","753","822","900","906","91","941","947","949","99"
218,0.0012007750367068186,"11","112","141","152","165","191","251","292","345","346","384","435","438","443","475","504","648","678","701","728","731","798","81","828","829","842","852","868","870","873","900","906","922","936","967"
219,0.001411477296526101,"112","113","152","254","258","274","291","341","363","374","375","389","394","435","443","479","552","640","682","701","731","732","746","762","786","80","829","839","852","898","900","906","985","991","999"
220,0.0009371422453090652,"144","201","259","26","315","335","373","435","44","443","487","499","522","530","535","541","554","564","566","569","572","583","586","675","689","701","762","768","797","900","906","921","967","976","991"
221,0.001116468253497948,"120","225","243","284","286","32","33","35","388","391","399","409","435","443","463","464","541","587","705","717","759","767","778","78","793","851","854","900","906","908","91","935","962","985","992"
222,0.0019936073380251245,"113","119","152","158","177","18","186","195","198","223","258","282","299","309","325","339","363","368","435","443","451","51","59","611","642","681","785","809","860","878","889","900","906","91","957"
223,0.001693788394019113,"106","108","131","136","159","168","250","28","375","413","435","464","492","493","504","541","574","588","597","604","63","678","713","722","732","753","757","831","866","91","946","959","975","977","989"
224,0.000678209309692071,"1000","106","129","260","352","378","384","435","439","443","491","500","512","535","568","595","617","648","669","709","712","722","762","764","772","81","823","872","900","906","930","947","949","951","996"
225,0.0019305785183654366,"131","142","180","25","250","260","308","331","337","347","357","378","435","443","491","496","500","503","512","519","55","568","591","604","615","644","669","678","705","720","759","872","900","906","996"
226,0.0012124569233051582,"119","120","123","124","13","141","152","160","162","186","239","240","280","348","368","432","435","437","443","526","528","610","619","644","725","778","791","900","906","91","926","928","951","980","996"
227,0.0003731458091174654,"106","120","124","133","134","14","152","158","195","197","208","22","234","32","34","349","39","419","421","428","429","435","443","508","567","583","646","663","677","75","906","91","914","934","95"
228,0.0012960119677775002,"108","126","154","205","222","232","268","27","313","347","435","443","508","519","532","535","567","574","615","64","679","71","713","715","75","762","831","872","900","906","931","939","951","958","977"
229,0.002943966704844875,"123","139","149","186","195","221","234","241","258","310","362","377","396","398","425","435","443","487","535","54","575","59","594","599","600","605","762","82","872","90","900","901","906","922","96"
230,0.001384684694705572,"104","106","120","141","152","268","274","280","300","32","333","388","397","399","405","430","435","443","491","498","53","545","601","622","741","746","75","776","86","865","886","900","906","91","926"
231,0.0025557627757765073,"106","120","124","201","206","245","264","306","32","323","327","328","355","368","410","435","443","467","522","554","616","629","646","659","672","734","75","787","794","833","842","900","906","91","918"
232,0.0002746496917507015,"106","113","152","158","16","176","195","216","218","226","230","258","271","281","29","306","32","363","392","435","443","47","498","533","59","590","601","628","73","75","826","86","865","900","906"
233,0.0006514381585234758,"10","152","186","258","268","27","274","275","283","324","330","335","341","363","368","385","399","435","443","47","484","502","558","574","602","609","721","733","748","75","753","906","909","91","974"
234,0.0009780001894231693,"130","134","137","138","144","158","171","227","233","237","349","356","435","441","443","450","452","465","487","535","562","59","613","623","762","776","783","789","832","856","934","936","937","967","973"
235,0.0006525240276314902,"106","120","134","152","16","166","219","222","264","28","32","347","435","443","458","48","53","533","57","60","615","631","67","704","710","717","75","778","906","91","932","935","951","959","996"
236,0.0005557520144495615,"108","111","152","17","242","275","283","387","399","434","435","441","443","50","548","561","593","61","620","625","626","630","687","692","70","733","740","773","774","790","795","83","900","906","97"
237,0.0019657660970841787,"100","109","136","152","171","186","227","233","249","279","294","350","357","360","375","435","443","495","500","515","582","588","606","637","705","732","745","757","771","863","900","906","91","99","996"
238,3.521525884339656e-05,"106","113","116","152","181","186","203","205","236","292","307","312","32","34","361","404","435","443","454","471","474","516","571","662","679","701","75","862","895","897","9","900","906","91","927"
239,0.001578466953991432,"103","108","111","120","134","142","143","152","176","180","186","258","268","279","32","372","401","435","443","466","56","673","710","713","715","719","738","756","79","796","844","859","861","906","91"
240,0.0012931810563743013,"100","108","13","131","152","17","185","186","187","196","258","266","322","363","4","435","443","503","52","59","604","61","692","70","75","769","855","89","899","900","903","906","91","915","941"
241,0.00031302705949012925,"148","166","167","262","280","30","387","407","422","427","434","435","441","443","490","491","496","500","561","625","631","643","654","705","709","739","77","864","867","900","906","926","929","942","996"
242,1.8262735074012001e-13,"106","146","187","21","239","304","340","367","368","378","392","4","413","435","437","443","449","461","483","530","535","620","654","656","701","762","779","793","794","825","84","900","906","928","999"
243,0.0008382348563211956,"108","109","120","134","152","18","233","322","387","434","435","443","482","510","61","611","637","702","734","774","788","830","856","889","899","903","904","91","918","920","966","967","973","979","986"
244,0.0016987795585304353,"103","113","150","166","167","172","173","205","213","30","32","357","389","401","404","415","435","443","470","516","525","530","538","572","582","591","678","679","745","78","897","900","906","91","99"
245,0.0011332452152055283,"115","120","125","134","145","161","222","240","32","340","354","368","42","435","443","444","546","554","565","650","698","701","75","755","794","8","82","833","846","900","906","907","91","953","997"
246,0.0005433058460783707,"114","121","152","186","20","246","258","267","363","369","376","387","434","435","443","446","554","576","577","583","589","598","651","664","688","701","770","794","805","833","850","900","906","929","968"
247,0.0002361126547887621,"106","113","126","132","134","137","237","260","321","424","435","441","443","445","475","483","493","505","561","568","608","613","620","626","630","675","715","722","780","833","842","869","900","906","976"
248,0.0008901737261234951,"1000","120","152","186","225","238","258","277","278","416","435","443","478","542","555","565","636","702","84","861","874","900","906","91","922","925","928","965","967","981","984","992","994","997","999"
249,0.0011145331686769335,"106","120","13","143","152","16","163","169","183","274","32","399","435","443","462","473","509","533","561","620","626","630","657","707","73","730","75","773","844","859","900","902","905","906","91"
250,0.0008743453696275641,"148","150","178","184","240","319","33","357","379","399","413","414","435","464","475","493","591","625","669","675","676","705","707","715","717","722","736","74","756","787","822","867","879","901","94"
251,0.0006719267500662143,"10","108","111","120","134","138","168","169","178","22","255","32","416","426","435","443","465","482","593","690","691","70","810","84","874","875","879","882","900","902","906","91","950","958","994"
252,0.001212234467328112,"102","113","152","202","25","261","304","353","377","387","435","443","451","474","487","499","5","547","554","558","559","618","624","625","682","683","730","786","80","816","898","900","906","917","991"
253,0.0037272995125430374,"154","173","222","227","231","232","275","283","303","308","406","408","409","435","442","443","487","491","500","532","678","687","705","733","736","838","841","851","854","900","906","936","939","952","996"
254,0.002141896027961595,"1","104","118","140","150","274","288","3","348","380","382","435","443","491","499","500","510","531","537","669","762","830","886","900","904","906","91","933","938","969","970","972","979","982","991"
255,0.00040041252975403757,"1000","11","150","191","235","292","295","296","297","314","317","363","368","383","413","435","443","475","490","493","516","529","547","680","684","728","794","798","81","864","868","895","900","906","936"
256,0.002769611632916143,"1000","152","173","186","235","258","281","340","42","43","435","443","482","492","565","597","621","63","650","753","797","900","906","91","965","966","975","976","978","984","989","993","996","997","998"
257,0.0016737299622058598,"117","119","122","139","152","198","221","234","237","299","304","348","359","362","368","425","435","441","443","474","599","600","611","635","669","740","809","860","870","889","90","900","906","957","968"
258,0.002189848288276121,"113","120","134","158","177","186","190","195","227","233","258","339","400","41","413","417","435","443","446","556","59","623","627","642","647","651","664","72","846","876","88","906","907","927","955"
259,0.0011493424039557385,"113","121","159","173","186","208","238","258","277","278","279","315","32","435","443","457","470","478","486","529","555","557","59","657","685","711","75","891","893","900","906","91","922","925","929"
260,0.0009427696168702178,"113","133","141","276","300","326","371","387","405","425","435","441","443","474","484","487","499","526","554","557","570","59","622","686","698","725","742","750","766","900","906","928","948","980","991"
261,0.0027362171059033104,"117","13","131","132","140","189","195","258","284","359","363","38","435","443","493","498","531","59","601","602","604","607","608","759","767","780","793","831","865","900","906","922","936","945","985"
262,0.0013830076049230185,"158","195","2","234","237","238","259","272","389","413","415","435","443","468","486","504","529","536","542","550","583","591","636","647","653","685","689","722","891","893","900","906","931","958","961"
263,0.0006186471500243705,"106","152","186","231","235","252","258","267","271","279","282","319","32","335","341","385","414","435","443","484","502","558","640","675","69","715","736","75","753","756","786","797","906","950","974"
264,0.001623869603983695,"118","200","227","324","435","443","47","487","491","496","517","614","620","626","666","669","683","705","707","765","773","816","861","870","881","884","888","894","900","906","910","916","960","967","985"
265,0.0014792281128231022,"108","13","17","186","242","258","32","363","364","365","375","4","420","435","443","496","50","514","593","596","61","661","705","709","720","732","757","764","777","789","870","888","894","900","906"
266,0.0011357773188639475,"11","113","161","197","305","421","434","435","441","443","471","474","494","497","516","554","612","667","695","696","698","726","727","728","762","768","798","873","900","906","91","928","930","931","933"
267,0.001943996339280787,"100","145","156","186","22","229","255","258","274","332","435","443","453","496","535","550","556","561","584","630","677","707","745","762","763","768","781","808","813","817","872","900","906","927","935"
268,0.0011744260579230209,"122","156","208","237","241","304","321","373","402","435","443","451","460","487","499","531","535","586","59","6","618","624","723","737","781","853","869","880","900","901","906","917","927","985","991"
269,0.0016553427848870293,"106","12","120","134","23","295","296","297","305","32","334","37","402","435","443","460","474","516","554","607","64","652","656","679","683","695","696","75","794","816","820","900","901","906","91"
270,0.0005574567291203368,"107","108","111","120","134","152","183","193","194","235","239","242","27","281","32","435","437","443","490","514","52","520","528","610","65","673","706","73","731","75","797","864","900","906","91"
271,9.268707040200455e-13,"117","270","304","363","401","402","42","428","435","443","461","464","517","52","527","541","572","662","697","701","794","802","806","815","816","819","834","850","900","906","931","940","958","985","999"
272,0.00010948050785757438,"122","133","141","152","161","195","300","306","325","368","376","385","405","434","435","443","516","549","622","628","634","669","686","740","900","906","920","922","968","974","980","981","983","991","999"
273,0.00042049417092857407,"106","12","152","153","186","2","20","258","32","376","435","443","536","618","623","624","627","634","651","686","701","72","75","770","794","833","842","88","900","906","917","961","968","983","990"
274,0.00038004272515337027,"104","186","2","206","208","209","214","226","230","238","257","399","410","435","443","451","455","471","496","497","535","536","685","762","797","803","806","826","853","872","900","906","928","961","999"
275,0.00164040297043703,"13","173","233","266","300","318","329","34","366","394","399","435","443","448","464","498","541","6","601","707","713","714","792","805","861","865","886","900","906","91","931","954","966","986","990"
276,0.0010932962610899367,"101","116","147","21","237","248","273","32","379","381","435","443","482","496","516","531","565","573","701","752","754","762","777","784","799","843","862","900","901","906","94","945","985","997","999"
277,0.0008818090066454573,"113","117","119","158","171","177","281","339","386","387","40","435","441","443","451","474","487","499","59","618","624","642","658","740","758","781","809","810","853","878","900","906","917","957","991"
278,2.688788312708074e-13,"12","164","170","231","274","288","334","360","368","371","391","416","42","422","435","443","456","5","610","659","7","744","75","771","778","779","792","837","900","906","931","935","939","951","958"
279,0.0003800427251526572,"106","136","152","179","276","28","283","420","435","443","458","482","557","570","588","624","663","705","707","722","740","745","757","766","836","870","888","891","900","906","917","920","932","935","959"
280,0.000766422203525227,"106","132","137","148","150","152","231","288","356","382","422","435","443","482","491","500","519","525","582","608","613","780","832","867","875","882","900","906","91","937","945","964","982","99","996"
281,0.0016797432486006785,"142","173","176","180","185","187","220","235","344","350","368","413","428","429","435","443","630","794","797","819","825","827","834","835","842","843","848","900","906","91","914","915","931","958","978"
282,5.041220211966612e-05,"163","19","204","250","32","377","399","402","428","429","435","443","460","475","491","496","535","54","575","631","740","757","762","778","843","857","862","900","901","905","906","914","951","975","993"
283,0.0019136660346610631,"106","112","113","121","136","152","164","186","208","246","258","285","307","319","363","387","414","433","435","443","446","511","59","731","852","853","878","880","888","894","900","906","912","922","929"
284,0.0011133302543334049,"10","106","120","127","134","15","209","214","226","32","343","364","365","397","435","443","472","500","506","514","52","520","596","661","705","73","741","745","75","753","892","896","900","906","91"
285,0.00031090469794676785,"106","231","287","304","311","352","359","422","435","439","443","456","461","469","521","603","670","694","697","700","701","703","704","708","712","716","722","723","75","778","861","900","906","928","935"
286,0.001121264273300776,"120","134","183","184","190","194","231","250","277","278","357","395","417","435","46","466","475","478","491","500","540","544","555","591","706","722","753","844","870","883","904","925","928","951","975"
287,0.0012063255234698886,"108","155","157","168","2","257","268","275","285","351","357","393","435","443","487","489","496","536","591","61","646","664","669","7","803","806","808","836","900","906","924","928","940","942","961"
288,0.0003834655929443668,"1","104","237","248","290","3","308","334","413","435","443","482","531","537","656","768","776","784","787","819","825","827","834","872","900","906","933","950","969","972","978","985","991","995","996"
289,2.2737549690035655e-12,"122","175","274","311","32","327","328","340","348","368","382","42","422","435","443","476","52","521","616","619","62","621","650","659","718","778","870","900","906","931","935","951","958","982","984"
290,0.0005458404973182264,"101","18","195","198","258","272","325","361","363","368","385","387","435","443","468","496","516","54","575","598","611","625","629","652","653","749","807","860","889","9","900","906","922","974","999"
291,3.3057597089958326e-05,"115","120","156","183","194","274","32","33","354","357","399","424","435","482","483","531","591","609","633","638","706","713","717","721","753","848","849","870","883","927","931","946","971","98","985"
292,0.0015155370205765949,"152","220","225","243","262","391","434","435","443","463","464","475","491","497","500","541","620","626","654","727","736","739","745","799","819","825","827","834","835","89","900","906","931","935","992"
293,0.0027058505208392377,"1000","120","129","13","134","162","186","195","21","258","352","363","435","443","447","473","516","517","55","614","648","712","726","75","764","798","81","873","881","884","900","906","947","949","999"
294,0.00018237532430554013,"102","168","195","261","262","282","309","334","353","363","387","388","418","435","439","441","443","482","499","505","559","61","629","646","654","656","699","739","900","906","922","930","933","941","991"
295,0.0033387897598842237,"103","113","121","138","205","231","282","301","304","309","363","368","383","401","402","404","418","419","435","441","443","446","460","465","474","475","513","679","699","701","75","877","897","900","906"
296,0.0004388419702135117,"106","108","111","120","134","24","260","32","365","378","38","39","435","443","449","46","49","512","52","559","56","568","58","596","61","657","661","719","75","772","900","906","91","911","950"
297,0.0012564354604053067,"102","105","143","152","172","186","195","206","212","234","257","312","351","387","412","419","435","441","443","516","559","625","740","761","763","80","801","806","808","859","885","887","900","906","999"
298,0.0011236266367840293,"130","138","140","150","213","219","227","235","264","274","287","35","359","399","422","435","439","441","443","464","465","470","521","538","700","703","708","716","723","740","818","822","900","906","91"
299,0.0018151984204387863,"114","127","133","152","195","198","208","24","342","38","387","434","435","449","499","535","554","583","625","669","686","688","711","737","740","762","788","807","818","850","892","896","911","922","955"
300,0.0006395505789559889,"118","152","209","214","226","230","234","237","304","379","387","434","435","443","471","477","482","493","578","580","625","637","660","729","744","800","812","826","842","853","900","906","912","94","963"
301,0.00019372055141526892,"113","115","152","164","262","319","334","342","354","413","414","433","434","435","443","474","499","511","518","654","656","669","691","692","70","713","740","753","788","860","900","906","912","933","963"
302,0.0005219843986167583,"105","108","168","207","220","235","306","331","343","368","389","413","415","435","443","482","503","504","628","634","644","735","738","796","797","819","825","827","834","835","870","900","906","936","983"
303,0.001246412978309743,"120","134","159","168","173","185","187","196","209","214","235","256","267","268","32","342","343","344","435","443","586","644","666","723","735","738","75","796","797","855","900","906","91","910","960"
304,8.484919074947557e-05,"113","152","284","287","318","34","342","344","357","399","435","443","456","474","491","493","519","525","591","603","678","694","697","700","703","708","716","759","764","767","793","900","906","928","986"
305,0.00032815517289849956,"11","14","186","192","199","274","435","443","471","474","531","554","653","665","669","687","690","720","726","727","728","730","737","741","749","758","762","781","900","906","95","985","990","991","999"
306,0.0008494542165841562,"131","146","215","231","269","270","32","320","413","435","443","491","500","501","504","514","520","521","604","649","65","66","678","705","709","720","76","80","812","837","900","906","945","958","996"
307,0.0014787885714285195,"106","120","134","137","140","152","168","268","274","289","303","334","356","399","435","443","503","505","613","64","656","692","70","718","75","780","804","818","832","855","87","900","906","91","937"
308,0.002566238631469381,"321","373","435","439","443","461","469","531","581","586","59","618","624","660","669","670","685","722","723","729","744","745","829","853","869","872","891","900","906","917","922","985","987","991","995"
309,0.0016608161266696935,"140","16","210","268","27","274","293","329","333","397","413","435","443","45","464","504","533","541","6","60","641","67","678","713","741","753","769","800","812","818","832","900","906","928","966"
310,0.0011047310001865097,"113","116","16","19","204","208","333","363","397","4","40","407","434","435","443","474","487","499","527","533","554","60","640","643","669","67","741","76","77","840","843","862","900","906","991"
311,0.0011641426130657448,"13","138","176","188","276","304","32","371","435","438","441","443","465","487","496","499","557","569","570","618","629","646","701","742","750","766","794","798","866","873","900","906","917","95","991"
312,0.0008082602065767219,"26","304","315","387","432","435","44","441","443","445","499","514","520","531","534","543","554","565","566","65","651","689","701","726","727","748","755","794","885","900","906","976","985","991","997"
313,0.0007185544412374151,"202","206","212","216","223","237","29","336","341","353","368","410","435","443","445","496","502","535","59","669","686","737","743","762","833","842","847","87","872","892","894","896","900","906","981"
314,0.001780528057962294,"101","173","186","233","258","259","293","319","376","388","396","405","414","430","434","435","443","54","575","583","598","622","657","683","74","753","778","816","820","833","842","900","906","91","981"
315,0.0028708522333568847,"115","158","165","195","198","251","258","325","361","374","412","435","441","443","496","524","535","57","571","58","59","598","611","662","761","762","788","801","828","860","872","9","900","906","922"
316,0.0011619167788976042,"101","114","141","147","152","158","179","186","234","237","25","258","304","388","405","415","420","435","436","440","443","489","524","535","549","598","622","651","762","85","850","872","900","906","920"
317,0.0011219623097828793,"106","120","134","152","154","258","305","32","36","426","435","443","491","498","500","545","587","601","671","681","691","696","705","707","75","78","785","807","863","865","886","908","91","939","962"
318,0.003257022736789256,"110","134","142","143","148","172","227","233","248","287","304","413","435","443","456","531","554","603","694","697","700","701","703","708","716","723","760","794","848","849","859","867","900","906","936"
319,0.001658875996962035,"106","113","120","13","138","152","171","201","217","220","234","32","343","392","406","408","409","435","443","46","540","59","590","644","687","690","75","835","838","841","851","854","900","906","91"
320,0.001977373103997071,"171","21","22","231","235","24","265","266","366","368","372","38","39","422","424","435","443","448","449","483","49","491","500","501","509","657","705","75","79","900","906","911","931","958","971"
321,4.632404107919842e-05,"140","15","160","2","227","233","238","274","279","285","314","32","422","435","464","472","531","536","541","574","587","684","69","745","753","787","818","857","908","935","936","961","962","977","985"
322,0.0006984856893005972,"106","113","132","137","152","186","195","220","231","236","302","304","313","32","397","435","439","443","45","466","608","61","620","626","632","641","673","75","760","773","780","900","906","920","945"
323,0.0007971127576145725,"116","152","181","186","246","258","277","278","28","363","387","435","443","446","458","486","494","500","555","647","668","745","774","777","880","900","906","91","922","925","932","950","959","965","981"
324,0.0007854496621375755,"108","13","152","160","173","183","194","231","291","298","367","387","392","399","434","435","459","499","539","55","590","669","682","706","707","722","740","774","80","815","845","846","883","907","923"
325,0.0009223689240203952,"106","126","130","138","180","186","211","258","309","325","335","338","341","363","385","435","443","496","502","558","633","638","645","745","747","75","778","786","792","900","906","935","951","954","974"
326,0.0011840610780262351,"106","134","143","148","149","222","232","233","27","302","304","32","337","349","356","435","443","450","475","49","532","623","701","722","778","783","832","849","859","867","900","906","934","935","937"
327,1.0913432417617399e-12,"164","170","187","2","215","24","253","274","367","368","371","40","401","402","422","435","443","46","492","596","610","670","694","75","778","827","874","900","906","928","931","934","935","951","958"
328,5.512400431889449e-13,"164","257","304","4","435","443","444","448","460","464","5","512","531","541","596","603","649","650","683","701","729","767","779","794","802","84","900","902","906","931","954","958","979","985","999"
329,0.0032493004126374885,"1","108","150","168","295","296","297","334","435","443","61","656","663","678","7","740","777","813","832","836","890","895","900","906","91","928","931","933","940","942","956","958","969","970","972"
330,0.0018181331162819437,"195","273","368","379","381","413","435","443","474","495","504","516","530","531","538","546","572","573","578","580","585","729","744","752","754","824","900","906","922","928","94","943","955","985","998"
331,0.0006010031025997283,"105","13","152","186","188","203","221","225","229","252","258","267","268","284","289","32","334","363","430","435","436","443","491","500","505","55","656","759","767","793","804","817","870","900","906"
332,0.0013953475811644403,"110","120","145","156","158","233","287","304","332","373","435","443","480","487","504","535","586","617","651","701","703","708","716","723","762","776","781","794","808","823","900","906","913","927","944"
333,0.0003236220129243252,"120","126","134","170","173","186","247","289","316","357","358","380","4","40","423","435","443","488","546","61","68","715","778","779","802","804","835","883","900","906","91","935","938","943","951"
334,0.000511758959108092,"104","106","108","120","158","193","208","260","3","32","342","368","378","416","435","443","49","505","509","512","521","530","551","568","572","59","75","772","788","84","874","900","906","91","994"
335,0.0008807485883991418,"108","177","181","255","339","356","383","389","400","41","435","441","443","486","487","494","499","508","534","554","567","636","642","647","669","709","713","740","794","831","900","906","957","965","991"
336,0.001341130802689259,"106","120","134","158","244","260","303","32","370","378","402","403","412","430","435","443","460","474","49","505","512","568","576","577","61","631","75","761","772","801","805","900","906","91","950"
337,0.001310826175106424,"108","13","136","168","173","184","19","190","21","28","415","417","432","435","443","458","493","516","565","588","631","639","651","678","757","843","865","870","886","900","906","913","928","936","959"
338,0.001618520634214351,"113","152","158","159","221","234","257","342","351","367","377","398","434","435","441","443","474","487","510","539","635","640","669","740","806","808","815","830","836","885","888","900","906","930","979"
339,0.0016388611268287436,"106","108","111","120","13","134","152","18","193","198","282","32","325","35","435","443","466","540","574","605","611","64","673","692","693","70","745","75","819","825","860","889","906","91","96"
340,0.0021449027982760934,"133","152","184","190","197","272","326","417","421","434","435","443","499","526","55","612","629","646","653","665","667","669","686","702","725","740","749","8","842","876","900","906","967","991","995"
341,7.056019180531302e-05,"106","120","132","134","144","152","166","198","216","218","271","274","281","334","399","4","435","443","491","500","52","524","55","564","569","656","67","75","8","860","900","906","91","921","933"
342,0.000555717933544688,"124","182","186","231","265","266","280","366","372","424","435","443","448","475","482","483","49","5","509","547","657","713","722","74","753","772","79","791","794","872","900","906","926","971","999"
343,0.00041876847730403806,"182","195","206","233","237","265","303","372","410","424","435","443","461","483","496","516","517","521","535","612","614","617","629","667","670","762","79","842","872","881","884","900","906","936","971"
344,0.0007172136429889308,"119","120","134","152","165","173","177","186","225","232","235","251","258","267","338","339","370","435","442","443","463","532","642","686","746","747","753","797","809","828","900","906","935","944","992"
345,0.003236360891889079,"117","122","15","186","208","236","258","307","387","411","422","435","443","451","468","472","516","518","545","554","556","6","624","652","730","794","811","829","853","900","906","92","931","958","966"
346,0.0005486079151524501,"132","137","152","156","158","370","434","435","443","452","496","514","520","534","602","608","613","65","71","711","740","76","780","781","833","842","85","853","870","890","900","906","927","991","999"
347,0.0005599692996340131,"121","133","208","227","276","371","390","396","413","435","443","457","459","496","504","570","584","617","655","702","735","742","750","752","754","766","784","787","794","870","900","906","919","931","995"
348,0.0013509983313577908,"115","136","19","195","234","237","241","246","259","304","354","411","435","443","446","490","504","517","583","614","625","678","811","836","864","870","880","881","884","887","900","906","91","92","936"
349,0.00144708222336953,"106","120","133","134","155","156","157","17","210","313","32","333","393","435","443","45","543","548","554","608","632","641","701","75","790","794","795","833","900","906","91","927","948","97","987"
350,2.254549267160081e-13,"103","106","117","121","154","16","169","185","239","257","274","288","294","366","368","424","435","443","464","54","541","56","572","670","697","778","779","834","900","906","928","935","951","961","985"
351,0.0015035275075484362,"107","112","115","174","183","194","202","234","235","25","387","413","435","443","459","46","482","493","504","507","540","546","552","554","625","706","731","797","860","883","900","906","923","938","998"
352,0.002599297022734267,"106","120","134","155","157","189","21","217","235","244","265","27","29","290","294","311","32","372","375","393","435","443","588","732","735","75","771","79","797","890","900","906","91","967","995"
353,0.000139408426081309,"106","111","116","141","150","152","183","186","206","209","214","239","258","32","407","410","435","437","443","491","500","527","610","643","75","76","77","83","840","862","871","883","900","906","980"
354,0.0029151749966238936,"108","119","120","13","150","156","175","186","258","28","332","361","363","435","443","458","496","571","587","61","662","704","718","78","809","9","900","906","91","927","932","944","959","981","984"
355,0.0011292259355815725,"152","186","239","249","255","258","271","281","360","422","435","437","443","464","493","495","509","510","515","528","544","55","606","610","681","707","778","856","904","906","91","935","943","951","973"
356,0.0005779862649712108,"100","124","134","220","224","227","229","245","304","334","428","435","443","482","531","554","629","646","656","678","701","794","817","819","821","825","827","834","835","884","900","906","914","933","985"
357,0.0008770381000407276,"114","127","195","204","295","296","322","368","43","435","441","443","487","496","499","529","534","663","685","688","813","833","842","843","850","891","893","895","899","900","903","906","922","955","991"
358,0.0034118802790605502,"114","127","136","140","244","28","368","375","399","435","441","443","464","499","500","541","551","588","688","713","732","737","743","753","757","818","850","892","896","900","906","913","959","964","991"
359,0.002028370588544554,"121","18","186","230","234","293","306","435","443","445","487","496","499","513","517","554","611","612","614","628","667","668","826","833","872","881","884","885","889","900","906","929","983","991","995"
360,0.001299489419564603,"13","133","152","154","164","186","231","235","258","363","368","433","435","443","501","511","581","685","732","753","777","797","799","800","812","822","890","891","893","900","906","912","913","939","963"
361,0.00041214449868306514,"152","186","201","226","234","237","258","340","363","387","392","42","434","435","443","461","469","522","590","621","650","660","663","670","677","730","752","781","809","826","839","900","906","922","999"
362,0.00041427376769251996,"110","150","159","173","175","186","229","258","311","340","348","42","426","435","443","491","500","521","535","621","650","69","690","691","718","736","745","762","765","768","817","872","900","906","981"
363,0.0003007193580801132,"112","116","119","13","136","150","158","186","236","254","363","377","396","435","443","452","454","474","536","552","588","625","639","669","678","724","731","740","809","839","852","853","862","900","906"
364,0.0008081113573520692,"1000","152","156","175","177","186","197","236","258","268","324","339","363","387","400","421","434","435","443","478","516","642","666","713","718","764","875","900","906","910","927","946","950","960","984"
365,0.0014691921109898508,"103","106","108","111","113","120","125","134","152","240","275","283","4","401","435","443","466","514","52","59","602","609","65","673","703","708","716","721","733","75","787","900","906","91","92"
366,6.432299306353631e-05,"106","129","222","232","253","304","312","435","443","447","473","514","527","532","535","554","595","669","701","710","720","722","751","756","762","775","788","794","814","840","872","900","906","947","949"
367,0.0018640977911077701,"123","152","158","237","428","429","435","441","475","484","487","493","499","584","585","594","595","599","602","669","69","693","702","740","765","807","89","90","914","915","941","955","967","978","991"
368,0.0009404110771507804,"208","231","258","304","307","335","341","363","402","411","422","435","443","460","475","502","513","542","57","635","682","688","695","701","768","794","811","836","839","870","900","901","906","907","92"
369,0.0006071203690987061,"134","170","227","233","235","247","249","274","289","291","360","368","394","423","435","443","495","515","531","546","574","606","68","714","797","802","804","805","900","906","91","935","943","977","998"
370,0.00022644707386694336,"108","134","135","168","17","173","233","250","414","435","46","462","464","481","485","492","493","510","540","541","597","63","678","693","734","74","778","830","931","941","951","958","975","979","989"
